ID,PID,IMSI,UE_ID,Modo,Sucesso,Latencia_sf,CPU_%,Ciclos_Curto,Ciclos_Longo,Estado_DRX
1,4432,57471,127,2,OK,1,100.00,0,0,N/A
2,10020,75269,517,2,OK,1,100.00,0,0,N/A
3,15224,41281,321,2,OK,1,100.00,0,0,N/A
4,10964,12175,911,2,OK,1,100.00,0,0,N/A
5,12752,84558,590,1,OK,11,4.17,1,0,CURTO
6,7836,88032,992,1,OK,36,1.92,1,0,CURTO
7,5556,78741,917,1,OK,85,1.15,1,0,CURTO
8,10388,98076,796,1,OK,155,0.62,1,0,CURTO
9,1852,26961,337,2,OK,1,100.00,0,0,N/A
10,8572,61755,315,2,OK,1,100.00,0,0,N/A
11,14752,17156,772,2,OK,1,100.00,0,0,N/A
12,14496,78855,7,1,OK,74,1.30,1,0,CURTO
13,14684,42727,743,1,OK,79,1.27,1,0,CURTO
14,9236,77081,281,1,OK,98,0.88,1,0,CURTO
15,13000,79290,442,1,OK,113,0.79,1,0,CURTO
16,9904,62667,203,1,OK,114,0.84,1,0,CURTO
17,14864,76410,634,2,OK,1,100.00,0,0,N/A
18,10124,34367,575,2,OK,1,100.00,0,0,N/A
19,13296,51449,249,2,OK,1,100.00,0,0,N/A
20,14484,99576,248,2,OK,1,100.00,0,0,N/A
21,12748,94273,65,2,OK,1,100.00,0,0,N/A
22,5820,78100,276,1,OK,61,1.30,1,0,CURTO
23,15028,60745,329,1,OK,107,0.93,1,0,CURTO
24,3056,44251,219,1,OK,131,0.70,1,0,CURTO
25,3660,20886,406,2,OK,1,100.00,0,0,N/A
26,6896,71054,398,2,OK,1,100.00,0,0,N/A
27,10156,39556,644,2,OK,1,100.00,0,0,N/A
28,14948,95455,223,1,OK,6,5.56,1,0,CURTO
29,4988,10944,704,1,OK,12,6.67,1,0,CURTO
30,14120,94602,394,1,OK,112,0.88,1,0,CURTO
31,15020,95290,58,1,OK,122,0.71,1,0,CURTO
32,8804,53404,156,1,OK,137,0.65,1,0,CURTO
33,15104,96589,333,2,OK,1,100.00,0,0,N/A
34,10560,12506,218,2,OK,1,100.00,0,0,N/A
35,13624,64351,863,2,OK,1,100.00,0,0,N/A
36,8624,98367,63,1,OK,3,6.25,1,0,CURTO
37,14884,77088,288,1,OK,9,11.11,1,0,CURTO
38,2160,11297,33,1,OK,19,4.55,1,0,CURTO
39,14412,72238,558,1,OK,149,0.64,1,0,CURTO
40,14888,30782,62,1,OK,153,1.22,2,0,CURTO
41,14396,21885,381,2,OK,1,100.00,0,0,N/A
42,12008,22711,183,2,OK,1,100.00,0,0,N/A
43,14452,68697,89,2,OK,1,100.00,0,0,N/A
44,5036,18540,108,2,OK,1,100.00,0,0,N/A
45,10508,36747,907,2,OK,1,100.00,0,0,N/A
46,2720,27812,164,2,OK,1,100.00,0,0,N/A
47,10272,80682,810,1,OK,84,1.09,1,0,CURTO
48,4928,76750,974,1,OK,118,0.81,1,0,CURTO
49,15148,13696,384,2,OK,1,100.00,0,0,N/A
50,7256,33889,97,1,OK,18,5.56,1,0,CURTO
