rep,ciclo,imsi,ue_id,pid,sucesso,latencia_sf,consumo_pct
1,2,18138,730,1792,1,2,5.4726
1,2,96882,626,15136,1,2,5.4726
1,2,67722,138,13944,1,1,5.4726
1,2,12042,778,15344,1,1,5.0000
1,2,74722,994,8944,1,2,5.4726
1,2,40364,428,4276,1,3,5.4455
1,2,76700,924,4780,1,2,5.4455
1,2,85324,332,5548,1,3,5.4455
1,2,71412,756,9764,1,2,5.4726
1,2,63129,665,1452,1,7,5.3398
1,2,15145,809,14084,1,8,5.3140
1,2,67041,481,252,1,8,5.3140
1,2,15673,313,3980,1,7,5.3140
1,2,54251,1003,5760,1,11,5.2133
1,2,67523,963,11052,1,12,5.2381
1,2,59877,485,1404,1,13,5.1887
1,2,46165,85,6392,1,13,5.1887
1,2,42999,1015,5480,1,17,5.0926
1,2,79791,943,6408,1,17,5.0926
1,2,18575,143,12908,1,17,5.0926
1,4,20248,792,2596,1,6,2.9268
1,4,91688,552,4284,1,6,2.9412
1,4,61633,193,2040,1,10,2.8708
1,4,72741,37,12344,1,14,2.8169
1,4,86361,345,11892,1,16,2.8037
1,4,55273,1001,5752,1,15,2.8037
1,4,37513,649,15264,1,16,2.7907
1,4,44365,333,3692,1,20,2.7397
1,4,85293,301,6344,1,19,2.7523
1,4,34866,50,13060,1,20,2.7397
1,4,20546,66,15236,1,20,2.7397
1,4,87846,806,8960,1,25,2.6786
1,4,12538,250,5496,1,26,2.6667
1,4,84618,650,1100,1,25,2.6786
1,4,50538,362,13432,1,25,2.6786
1,4,62487,23,2480,1,34,2.5751
1,4,46935,855,14324,1,34,2.5751
1,4,80571,699,2384,1,35,2.5532
1,4,87071,31,2660,1,39,2.5210
1,4,63232,768,3804,1,40,2.5105
1,8,73701,997,5264,1,9,1.4423
1,8,11502,238,4832,1,24,1.3453
1,8,71638,982,2408,1,24,1.3453
1,8,95710,478,2092,1,28,1.3158
1,8,91006,894,15040,1,28,1.3216
1,8,85127,135,8624,1,29,1.3158
1,8,97143,887,4000,1,34,1.2821
1,8,18431,1023,7996,1,38,1.2658
1,8,67936,352,4244,1,39,1.2605
1,8,77153,353,14300,1,49,1.6129
1,8,85826,834,6004,1,59,1.5504
1,8,72962,258,4756,1,60,1.5504
1,8,92234,74,15288,1,63,1.5267
1,8,66986,426,14704,1,63,1.5267
1,8,64274,786,3348,1,65,1.5152
1,8,12186,922,8412,1,68,1.4981
1,8,82859,939,1092,1,73,1.4706
1,8,29099,427,8516,1,73,1.4706
1,8,73915,187,5420,1,78,1.4440
1,8,67204,644,5808,1,79,1.4388
1,16,80724,852,13412,1,5,0.9317
1,16,59428,36,5480,1,5,0.9288
1,16,88244,180,8452,1,9,0.9174
1,16,38917,5,8944,1,10,0.9146
1,16,52456,232,4752,1,46,0.8264
1,16,42168,184,13900,1,50,0.8174
1,16,29496,824,3456,1,50,0.8152
1,16,10104,888,15128,1,49,0.8174
1,16,72824,120,2536,1,49,0.8174
1,16,64457,969,13320,1,50,0.8152
1,16,29674,1002,7752,1,65,0.7833
1,16,57228,908,6400,1,80,0.7538
1,16,55437,141,13108,1,91,0.7353
1,16,50989,813,5760,1,95,0.7264
1,16,56877,557,1028,1,95,0.7264
1,16,75150,398,11100,1,101,0.7160
1,16,13887,575,5192,1,120,0.6849
1,16,33426,658,12092,1,145,0.6479
1,16,42307,323,1452,1,150,0.6410
1,16,37011,147,6976,1,154,0.6356
2,2,88263,199,2660,1,5,5.3922
2,2,81287,391,332,1,5,5.3922
2,2,12887,599,5212,1,4,5.4187
2,2,90527,415,5964,1,4,5.4187
2,2,23320,792,8132,1,5,5.3922
2,2,33408,640,12344,1,6,5.3659
2,2,43632,624,2596,1,6,5.3922
2,2,39572,660,7664,1,11,5.2381
2,2,76908,108,9184,1,10,5.2632
2,2,14742,406,14444,1,14,5.1643
2,2,37662,798,6008,1,14,5.1643
2,2,70457,825,1100,1,16,5.1163
2,2,89505,417,6708,1,15,5.1402
2,2,10249,9,14836,1,16,5.1402
2,2,19827,371,9116,1,20,5.0228
2,2,92859,699,3968,1,20,5.0459
2,2,88299,235,14520,1,19,5.0459
2,2,83661,717,7760,1,20,5.0228
2,2,67525,965,5736,1,20,5.0228
2,2,30949,229,1636,1,20,5.0228
2,4,57037,717,10072,1,3,2.9557
2,4,35869,29,12424,1,4,2.9557
2,4,35725,909,4252,1,3,2.9703
2,4,86637,621,13072,1,3,2.9703
2,4,53426,178,13760,1,5,2.9412
2,4,93250,66,14704,1,4,2.9557
2,4,96390,134,5808,1,8,2.8986
2,4,64966,454,11156,1,9,2.8846
2,4,54718,446,6588,1,13,2.8302
2,4,61715,275,4928,1,15,2.8169
2,4,67283,723,8312,1,14,2.8169
2,4,42551,567,13832,1,18,2.7650
2,4,75231,479,15096,1,23,2.7027
2,4,11743,479,13216,1,23,2.6906
2,4,54228,980,1092,1,28,2.6432
2,4,85484,492,13388,1,34,2.5751
2,4,26076,476,2408,1,33,2.5862
2,4,52556,332,8340,1,33,2.5862
2,4,32801,33,3920,1,35,2.5641
2,4,28937,265,8544,1,40,2.5105
2,8,89262,174,4480,1,8,1.4423
2,8,75726,974,1616,1,8,1.4493
2,8,14590,254,11052,1,13,1.4151
2,8,39063,151,14584,1,19,1.3761
2,8,37111,247,12348,1,19,1.3761
2,8,44319,287,14636,1,24,1.3514
2,8,55008,736,1612,1,24,1.3453
2,8,57064,744,12292,1,29,1.3158
2,8,41176,216,15136,1,33,1.2931
2,8,90242,130,5700,1,45,1.6393
2,8,56042,746,14572,1,48,1.6194
2,8,49138,1010,412,1,50,1.6064
2,8,70955,299,12224,1,58,1.5564
2,8,24036,484,10844,1,65,1.5152
2,8,77860,36,12892,1,64,1.5209
2,8,57548,204,14316,1,68,1.4981
2,8,66036,500,3700,1,70,1.4870
